,0
270,2.8840172
271,2.6889842
272,2.6778433
273,2.524545
274,2.4991744
275,2.800831
276,3.1509807
277,2.9837677
278,2.9096663
279,2.830642
280,2.835191
281,3.1177938
282,2.999781
283,2.7071583
284,2.9002116
285,3.2201478
286,2.970071
287,2.9849846
288,3.1238697
289,3.3822377
290,4.6762166
291,5.1539903
292,5.8365135
293,6.675838
294,7.3758082
295,7.8311276
296,8.292596
297,8.675961
298,9.306785
299,8.790814
300,8.603627
301,9.4655695
302,9.307689
303,9.832672
304,10.16241
305,10.318878
306,9.209638
307,8.566627
308,7.929418
309,7.3799396
310,7.2432494
311,7.6792383
312,7.5517197
313,7.4533143
314,7.406354
315,7.0709815
316,7.2137666
317,7.5693793
318,7.300946
319,7.376421
320,7.440165
321,6.855832
322,6.5914984
323,7.8921857
324,9.016985
325,8.757309
326,9.190015
327,11.839834
328,13.416369
329,11.783486
330,14.631595
331,13.791189
332,13.904684
333,13.295977
334,12.809563
335,15.077704
336,15.878418
337,16.143934
338,17.390665
339,16.062607
340,16.550217
341,15.291622
342,15.161861
343,15.290842
344,15.822164
345,15.258989
346,15.998317
347,16.333387
348,17.085482
349,15.447515
350,14.994654
351,14.430874
352,16.010996
353,15.570402
354,14.707427
355,16.824455
356,18.092453
357,19.143215
358,20.366592
359,19.707178
360,19.186121
361,19.471413
362,17.138935
363,18.339682
364,17.283394
365,15.496231
366,16.30307
367,15.260677
368,16.851845
369,15.665448
370,15.273956
371,16.891172
372,17.398062
373,15.766622
374,16.451649
375,15.301379
376,15.346715
377,15.369372
378,17.48115
379,18.49317
380,20.868515
381,21.93215
382,23.057192
383,23.206696
384,19.786173
385,20.298841
386,19.857765
387,16.747585
388,18.211538
389,19.757048
390,20.281773
391,23.316889
392,21.845415
393,21.320265
394,19.75038
395,18.726276
396,19.145136
397,18.625631
398,18.483149
399,20.774113
400,21.704361
401,18.99196
402,18.463427
403,16.337645
404,17.080566
405,16.690105
406,17.749163
407,16.14979
408,15.964748
409,16.117191
410,15.698216
411,16.029081
412,17.589193
413,17.258043
414,17.078619
415,18.633307
416,19.09389
417,17.9979
418,17.834696
419,19.550442
420,19.426916
421,18.931765
422,19.009407
423,19.670559
424,20.583977
425,21.592354
426,21.622957
427,22.076393
428,21.964966
429,21.825989
430,20.394024
431,20.416416
432,20.098583
433,19.738056
434,18.556393
435,19.380053
436,17.729485
437,17.728231
438,17.063257
439,18.100822
440,17.680775
441,16.973642
442,16.686739
443,15.677623
444,16.944065
445,17.07476
446,15.506592
447,15.680576
448,16.74697
449,16.810574
450,18.07873
451,18.960993
452,19.05361
453,19.15438
454,18.922443
455,15.803134
456,16.456184
457,16.497725
458,17.532139
459,16.44659
460,16.018415
461,17.016117
462,14.917063
463,15.919689
464,16.024536
465,16.129671
466,16.932734
467,17.165758
468,15.890972
469,16.962812
470,15.5881195
471,14.381868
472,13.923221
473,13.232263
474,13.054787
475,13.644185
476,11.433623
477,12.88921
478,13.00165
479,14.496316
480,15.265719
481,16.054424
482,15.857234
483,16.8192
484,16.7369
485,16.860004
486,17.00534
487,15.953982
488,16.636007
489,16.931982
490,16.046057
491,16.074717
492,16.035664
493,14.517591
494,14.032238
495,13.496779
496,14.13383
497,13.674059
498,14.722632
499,14.614078
500,14.389983
501,12.277379
502,13.233326
503,12.566388
504,12.502344
505,11.646406
506,13.764312
507,12.935084
508,11.90884
509,11.575508
510,12.668948
511,12.89093
512,11.795716
513,12.227561
514,10.329059
515,9.571385
516,8.386903
517,8.9994
518,8.655744
519,7.9485803
520,7.87999
521,7.4079638
522,7.8100457
523,7.088885
524,6.330928
525,6.548064
526,5.1417284
527,4.5990214
528,5.1332164
529,5.6292386
530,6.592677
531,5.4209065
532,5.5935354
533,5.9579635
534,6.5056415
535,6.020457
536,6.0248256
537,6.25507
538,5.206094
539,5.071401
540,4.503912
541,3.9965217
542,4.9515314
543,5.3350673
544,5.765603
545,5.8214827
546,6.190241
547,6.147566
548,5.7627387
549,5.551401
550,5.734639
551,5.981824
552,4.7956347
553,4.6178093
554,4.3568254
555,4.7940526
556,4.712243
557,4.6200867
558,4.311166
559,4.7745447
560,4.777373
561,5.164866
562,4.2986193
563,4.902092
564,4.614511
565,4.532829
